araña,https://image.freepik.com/foto-gratis/tarantula-tapinauchenius-gigas_155003-301.jpg
mosca,https://as2.ftcdn.net/v2/jpg/02/65/29/63/1000_F_265296319_VTbAOxh6qlZFKZmDm0PQNWGNbv8bTbRo.jpg
avispa,https://as2.ftcdn.net/v2/jpg/00/30/12/35/1000_F_30123579_Kq1cP7BvW21tLg5w0mxTVAXfYE1GGGXR.jpg
mariposa,https://as2.ftcdn.net/v2/jpg/01/87/42/57/1000_F_187425769_MPMTOpmDE4NZbrWIKcy0DPasqTjxheRu.jpg
libelula,https://as2.ftcdn.net/v2/jpg/02/80/88/11/1000_F_280881122_8spQgWY8GVBILU7Rc3qsD7ohEM8dkwNi.jpg
oruga,https://as1.ftcdn.net/v2/jpg/02/81/95/34/1000_F_281953493_DOQRounKyCMuOu9OasIMDdYeQJ8E7alA.jpg
escorpion,https://as1.ftcdn.net/v2/jpg/03/66/62/08/1000_F_366620854_92GZA1RHM1ydwdxvQ3KMmZU8g0V6zFpz.jpg
hormiga,https://image.freepik.com/foto-gratis/primer-plano-hormiga-negra_1112-469.jpg
luciernaga,https://as2.ftcdn.net/v2/jpg/01/85/12/81/1000_F_185128114_qJR3MGwmXBD40kJQCl4WrRRPNjOJDjPu.jpg
polilla,https://as1.ftcdn.net/v2/jpg/03/67/82/68/1000_F_367826867_YMjCZKaoFZguH9g4u5ek79reRBy1ydCM.jpg
cigarra,https://as2.ftcdn.net/v2/jpg/03/07/33/91/1000_F_307339148_R4BXizw2J62IlG9WwMf0VnuNv5r6alDs.jpg
mariquita,https://as2.ftcdn.net/v2/jpg/04/26/44/93/1000_F_426449328_PiPK48iJfmss8llor7ayXnCjs1JuaZ0p.jpg
chinche roja,https://image.freepik.com/foto-gratis/chinche-patas-hoja-adulta-especie-phthiacnemia-picta_313877-782.jpg
coral,https://as2.ftcdn.net/v2/jpg/01/70/82/01/1000_F_170820191_O0OAmLz7MwcQzWRdaoOmtoYaNy20uze9.jpg
sanguijuela,https://as2.ftcdn.net/v2/jpg/01/29/45/43/1000_F_129454320_c6Mf0FAHX2xQ6VGTv6ILsULcLP1a3WuW.jpg
moscardones,https://image.freepik.com/foto-gratis/cordulia-aenea-hembra_159132-382.jpg
caracol,https://as1.ftcdn.net/v2/jpg/02/03/67/56/1000_F_203675635_ua4XkpIIHcHyvRApmfkpoK0ymOmDzaqk.jpg
cucaracha,https://image.freepik.com/foto-gratis/cerca-insecto-cucaracha-aislado_87394-8576.jpg
mantis rligiosa,https://image.freepik.com/foto-gratis/mantis-pose-ataque-suelo_124137-2004.jpg
grillo,https://as2.ftcdn.net/v2/jpg/02/31/90/13/1000_F_231901358_KFm6XguERV9HnYn32WedzpUcmQCl9EEK.jpg
estrella de mar,https://as2.ftcdn.net/v2/jpg/00/77/90/75/1000_F_77907546_u3xCFxghNCxq6fDwXnLgL7dw4v41Ftr0.jpg
ciempies,https://as2.ftcdn.net/v2/jpg/02/28/54/99/1000_F_228549942_lz3zMIxUNWiGolYlmlxQxSVvchjupf7R.jpg
abeja,https://image.freepik.com/foto-gratis/abeja-obrera-anthophora-plumipes-hembra-aislado-blanco_191971-15961.jpg
saltamonte,https://as2.ftcdn.net/jpg/00/25/64/13/500_F_25641392_kG7G6D3NQpgTdE1Heq0KU6MdIYsLrQOR.jpg
larva,https://image.freepik.com/foto-gratis/closeup-foto-oruga-colorida-hoja_181624-28439.jpg
escarabajo,https://image.freepik.com/vector-gratis/escarabajo-bronce-aislado_1284-41673.jpg
almeja,https://as2.ftcdn.net/v2/jpg/02/98/17/77/1000_F_298177721_JJlGPjz0d5DNii68WhgiQmgZ7RnhXxrh.jpg
mil pies,https://img.freepik.com/foto-gratis/milpies_69709-145.jpg?size=626&ext=jpg
pulpo,https://as2.ftcdn.net/jpg/02/73/90/45/500_F_273904532_pggt3rPmugOYnGnyk7tgsXkAAOPBTFE8.jpg
erizo de mar,https://image.freepik.com/foto-gratis/primer-plano-erizo-mar-negro-sobre-roca-rodeada-mar-luz-sol-malta_181624-24882.jpg
medusa,https://as2.ftcdn.net/v2/jpg/03/40/03/41/1000_F_340034158_YgfN6OjGGDUwY1DzxyrjwBJIVcKYO3ym.jpg
guisanos planos,https://image.freepik.com/vector-gratis/vector-verde-claro-oruga-rastreo-cerca-vista-lateral-aislada-sobre-fondo-blanco_1284-46425.jpg
